filename,class,subject_id,image_id,gender,glasses,eye_state,reflections,lighting,sensor,width,height,bytes,sha256,source_relpath
s0020_00119_0_0_1_0_1_01.png,alert,s0020,00119,0,0,1,0,1,01,70,70,1946,0fc5ffb02331c57521fe303da41db14b1113b03fed0a1d01553d928e0e115174,data/raw/mrlEyes_2018_01/s0020/s0020_00119_0_0_1_0_1_01.png
s0020_00368_0_0_1_0_0_01.png,alert,s0020,00368,0,0,1,0,0,01,60,60,1441,f80efd59357894db96d657cdcddf38589e04c95577b421ebac718f763a1af536,data/raw/mrlEyes_2018_01/s0020/s0020_00368_0_0_1_0_0_01.png
s0034_00384_0_0_1_0_0_02.png,alert,s0034,00384,0,0,1,0,0,02,125,125,5986,a597aeb395095f3ac266468848dde086b45b530489bd90d9bccc18160ee718f1,data/raw/mrlEyes_2018_01/s0034/s0034_00384_0_0_1_0_0_02.png
s0030_00734_0_0_1_0_0_01.png,alert,s0030,00734,0,0,1,0,0,01,66,66,1666,5475ed9650ccb3ddddd0be74e4f032d8cae041053beca65f5504152d586e16be,data/raw/mrlEyes_2018_01/s0030/s0030_00734_0_0_1_0_0_01.png
s0019_05664_0_0_1_0_0_01.png,alert,s0019,05664,0,0,1,0,0,01,85,85,2980,eca827087d339e3a06a126232935d6af8f56d59056f27e83a8e6158f94e0a801,data/raw/mrlEyes_2018_01/s0019/s0019_05664_0_0_1_0_0_01.png
s0030_01318_0_0_1_0_1_01.png,alert,s0030,01318,0,0,1,0,1,01,79,79,2190,49d000ad4b6de233e6f831860af781cb6a47b3a09e94178fca85ac47ece0ae05,data/raw/mrlEyes_2018_01/s0030/s0030_01318_0_0_1_0_1_01.png
s0035_00133_0_1_1_2_1_02.png,alert,s0035,00133,0,1,1,2,1,02,144,144,6282,51f0a64c2a5054d8bcdd54b51c5c6f2d1c28384e55129be17106cedb784f59fe,data/raw/mrlEyes_2018_01/s0035/s0035_00133_0_1_1_2_1_02.png
s0035_00185_0_1_1_2_1_02.png,alert,s0035,00185,0,1,1,2,1,02,136,136,5983,229736b62f12c2b26c416457e35ea62efe84c2fc0a329ee8df6c35f1b1bec904,data/raw/mrlEyes_2018_01/s0035/s0035_00185_0_1_1_2_1_02.png
s0027_00471_0_1_1_2_1_01.png,alert,s0027,00471,0,1,1,2,1,01,70,70,2160,510a758de79d4a4af097762ff6c586f408925b15a746d77955504fcd38ba6989,data/raw/mrlEyes_2018_01/s0027/s0027_00471_0_1_1_2_1_01.png
s0027_00439_0_1_1_2_1_01.png,alert,s0027,00439,0,1,1,2,1,01,66,66,1883,492903d6bc5316e8e2efd563241018aa88dd231a5d51bad8552e0d74cb643a51,data/raw/mrlEyes_2018_01/s0027/s0027_00439_0_1_1_2_1_01.png
s0031_00171_1_0_0_2_1_02.png,drowsy,s0031,00171,1,0,0,2,1,02,147,147,5640,def98cd375323f3a567172536903dc65252d60a6d811e99a5963360c53ae08ad,data/raw/mrlEyes_2018_01/s0031/s0031_00171_1_0_0_2_1_02.png
s0012_01282_0_0_0_0_1_03.png,drowsy,s0012,01282,0,0,0,0,1,03,117,117,4986,4a2fc97f65820adca109b4b75bf72d335b4b6a15484b0bb2648a484d914b889b,data/raw/mrlEyes_2018_01/s0012/s0012_01282_0_0_0_0_1_03.png
s0014_02398_0_0_0_0_1_03.png,drowsy,s0014,02398,0,0,0,0,1,03,64,64,2149,1c725cdeb7cf02be1cd4b07868dcfd3b35cbe1e1fb4ffbccd9d3363a27d75a5b,data/raw/mrlEyes_2018_01/s0014/s0014_02398_0_0_0_0_1_03.png
s0032_00111_0_0_0_2_1_02.png,drowsy,s0032,00111,0,0,0,2,1,02,128,128,8269,f03add9e917cd36f02a3fccebae4ea12d9d831355cce490447b90cf7884f625d,data/raw/mrlEyes_2018_01/s0032/s0032_00111_0_0_0_2_1_02.png
s0006_00073_0_1_0_1_0_01.png,drowsy,s0006,00073,0,1,0,1,0,01,115,115,5363,ae712bbef9ea6724fccac24e4aeeea9bf13f54d13af38a8ffab2eca94a3aaf0e,data/raw/mrlEyes_2018_01/s0006/s0006_00073_0_1_0_1_0_01.png
s0016_01324_1_0_0_1_1_01.png,drowsy,s0016,01324,1,0,0,1,1,01,126,126,7306,ba691f8db618e62760751817f4c2de0393b91aeb6f5bd657f5b07fe53f4e1eeb,data/raw/mrlEyes_2018_01/s0016/s0016_01324_1_0_0_1_1_01.png
s0016_01504_1_0_0_0_1_01.png,drowsy,s0016,01504,1,0,0,0,1,01,154,154,10742,a6e0bf093597aa8e89828ce2eb46e21dc75863b5f104a02b4ef188a3b27bd8d6,data/raw/mrlEyes_2018_01/s0016/s0016_01504_1_0_0_0_1_01.png
s0013_00273_0_0_0_0_0_01.png,drowsy,s0013,00273,0,0,0,0,0,01,109,109,4308,2584b58753e5947c10ca847f79c6da69dd7bb22628f93fdee3a162584925abb5,data/raw/mrlEyes_2018_01/s0013/s0013_00273_0_0_0_0_0_01.png
s0019_02359_0_0_0_0_0_01.png,drowsy,s0019,02359,0,0,0,0,0,01,79,79,2591,b468a9e357bfa683f34a32262931fcf544ce595cbe092aaefbe9c06da1168def,data/raw/mrlEyes_2018_01/s0019/s0019_02359_0_0_0_0_0_01.png
s0008_00445_0_1_0_0_0_01.png,drowsy,s0008,00445,0,1,0,0,0,01,131,131,6259,a26b92b66b2c97448f02ac336fbbf5d6c1410196b0ccf6127ae04b806d845c0e,data/raw/mrlEyes_2018_01/s0008/s0008_00445_0_1_0_0_0_01.png
s0002_00283_0_0_0_0_0_01.png,drowsy,s0002,00283,0,0,0,0,0,01,89,89,2807,6ae20e21224e34d76f4ebc0ab22620cd569175ed6554ff0942393877d4e9da91,data/raw/mrlEyes_2018_01/s0002/s0002_00283_0_0_0_0_0_01.png
s0017_01187_1_0_0_0_1_01.png,drowsy,s0017,01187,1,0,0,0,1,01,87,87,3133,822076a61c8eaeea738058589cd0c70f2e13467e3541a47aff5eb30a97601aec,data/raw/mrlEyes_2018_01/s0017/s0017_01187_1_0_0_0_1_01.png
s0012_02650_0_1_0_2_0_01.png,drowsy,s0012,02650,0,1,0,2,0,01,89,89,3582,7c4df6668c4d55902a27bd9af68f0457259fa4b64b8071e602acecade77045f5,data/raw/mrlEyes_2018_01/s0012/s0012_02650_0_1_0_2_0_01.png
s0015_00569_0_0_0_0_1_01.png,drowsy,s0015,00569,0,0,0,0,1,01,106,106,4832,59e6fdaf75cbb3279ec54b61d9699de60286377423b25ac01a9981d297e214ff,data/raw/mrlEyes_2018_01/s0015/s0015_00569_0_0_0_0_1_01.png
s0036_00550_1_0_0_0_0_01.png,drowsy,s0036,00550,1,0,0,0,0,01,72,72,2277,dde8b6fd3a702ea79d9a35e247d54d729c964405c8b3729ef7bfafa84d405a4c,data/raw/mrlEyes_2018_01/s0036/s0036_00550_1_0_0_0_0_01.png
s0036_00866_1_1_0_0_0_01.png,drowsy,s0036,00866,1,1,0,0,0,01,65,65,1929,85e3599276aecbfe007cb860971f80465d59bca9b8bd9ae6ab79f4b0c72aae47,data/raw/mrlEyes_2018_01/s0036/s0036_00866_1_1_0_0_0_01.png
s0018_02225_0_1_0_0_0_01.png,drowsy,s0018,02225,0,1,0,0,0,01,172,172,12592,496ca3283dafa08fe9d7f2ffa97c9d6ca581f5a16fd8f62ffe80ad5a5278714c,data/raw/mrlEyes_2018_01/s0018/s0018_02225_0_1_0_0_0_01.png
s0001_01056_0_1_0_2_0_01.png,drowsy,s0001,01056,0,1,0,2,0,01,93,93,3746,1b68b0bbdef84d26dd33d53bc2e92f8fa127091df76f3d603cb698552811b512,data/raw/mrlEyes_2018_01/s0001/s0001_01056_0_1_0_2_0_01.png
s0037_05556_1_1_0_1_1_01.png,drowsy,s0037,05556,1,1,0,1,1,01,83,83,3007,3aa61c02ae649a167e094fa5bb51a52a8da2d887513a1427a4ea90d2e9879fc6,data/raw/mrlEyes_2018_01/s0037/s0037_05556_1_1_0_1_1_01.png
s0022_00065_0_1_0_0_1_01.png,drowsy,s0022,00065,0,1,0,0,1,01,89,89,3088,9ab2a88cbb0beb17f637c54e57284752a8020986a1fbff23ca24fc431cdadf06,data/raw/mrlEyes_2018_01/s0022/s0022_00065_0_1_0_0_1_01.png
